pais,2023,2024,2025,2026,2027,2028,2029,2030,variacion_total
Perú,48,48,48,48,48,48,48,48,0
Panamá,48,48,48,48,48,48,48,48,0
Argentina,48,48,48,48,48,48,48,48,0
Uruguay,48,48,48,48,48,48,48,48,0
Paraguay,48,48,48,48,48,48,48,48,0
Brasil,44,44,44,44,44,44,44,44,0
Honduras,44,44,44,44,44,44,44,44,0
Ecuador,40,40,40,40,40,40,40,40,0
Colombia,47,46,44,42,42,42,42,42,-5
Chile,45,44,44,42,42,40,40,40,-5
México,48,48,48,48,46,44,42,40,-8
PROMEDIO SIMPLE,46.18,46.0,45.82,45.45,45.27,44.91,44.73,44.55,-1.63
