pais,tramo,unidad,vac_legales,feriados,jornada_h_sem,tope_diario_legal,dias_lab_semana,horas_dia,d_trabajo,d_descanso_semanal,d_vacaciones,d_feriados,d_solape_fer_vac,dias_libres_total,pct_trabajo,pct_desc_sem,pct_vacaciones,pct_feriados,pct_descanso_total,horas_trabajadas_anio,pct_vigilia_trabajando,dias_trabajo_por_semana,traslado_min_dia,traslado_anio_ref,traslado_fuente,horas_traslado_anio,horas_comprometidas_anio,pct_vigilia_comprometida,horas_sueno_anio,horas_libres_anio,pct_libre_vigilia,pct_comprometido_total,pct_libre_total
Perú,1 año,calendario,30,16,48,8.0,6.0,8.0,274.6,52.1,25.7,12.6,1.1,90.4,75.2,14.3,7.0,3.4,24.8,2196,37.6,5.27,80,2024,ENUT INEI · BCRP-USIL,366,2563,43.9,2920,3277,56.1,29.3,37.4
Perú,5 años,calendario,30,16,48,8.0,6.0,8.0,274.6,52.1,25.7,12.6,1.1,90.4,75.2,14.3,7.0,3.4,24.8,2196,37.6,5.27,80,2024,ENUT INEI · BCRP-USIL,366,2563,43.9,2920,3277,56.1,29.3,37.4
Perú,10 años,calendario,30,16,48,8.0,6.0,8.0,274.6,52.1,25.7,12.6,1.1,90.4,75.2,14.3,7.0,3.4,24.8,2196,37.6,5.27,80,2024,ENUT INEI · BCRP-USIL,366,2563,43.9,2920,3277,56.1,29.3,37.4
Perú,20 años,calendario,30,16,48,8.0,6.0,8.0,274.6,52.1,25.7,12.6,1.1,90.4,75.2,14.3,7.0,3.4,24.8,2196,37.6,5.27,80,2024,ENUT INEI · BCRP-USIL,366,2563,43.9,2920,3277,56.1,29.3,37.4
Panamá,1 año,calendario,30,12,48,8.0,6.0,8.0,277.7,52.1,25.7,9.4,0.8,87.3,76.1,14.3,7.0,2.6,23.9,2222,38.0,5.33,,,,,,,,,,,
Panamá,5 años,calendario,30,12,48,8.0,6.0,8.0,277.7,52.1,25.7,9.4,0.8,87.3,76.1,14.3,7.0,2.6,23.9,2222,38.0,5.33,,,,,,,,,,,
Panamá,10 años,calendario,30,12,48,8.0,6.0,8.0,277.7,52.1,25.7,9.4,0.8,87.3,76.1,14.3,7.0,2.6,23.9,2222,38.0,5.33,,,,,,,,,,,
Panamá,20 años,calendario,30,12,48,8.0,6.0,8.0,277.7,52.1,25.7,9.4,0.8,87.3,76.1,14.3,7.0,2.6,23.9,2222,38.0,5.33,,,,,,,,,,,
Brasil,1 año,calendario,30,10,44,8.0,5.5,8.0,256.0,78.2,23.6,7.2,0.6,109.0,70.1,21.4,6.5,2.0,29.9,2048,35.1,4.91,58,2019,PNS 2019 · IBGE,247,2295,39.3,2920,3545,60.7,26.2,40.5
Brasil,5 años,calendario,30,10,44,8.0,5.5,8.0,256.0,78.2,23.6,7.2,0.6,109.0,70.1,21.4,6.5,2.0,29.9,2048,35.1,4.91,58,2019,PNS 2019 · IBGE,247,2295,39.3,2920,3545,60.7,26.2,40.5
Brasil,10 años,calendario,30,10,44,8.0,5.5,8.0,256.0,78.2,23.6,7.2,0.6,109.0,70.1,21.4,6.5,2.0,29.9,2048,35.1,4.91,58,2019,PNS 2019 · IBGE,247,2295,39.3,2920,3545,60.7,26.2,40.5
Brasil,20 años,calendario,30,10,44,8.0,5.5,8.0,256.0,78.2,23.6,7.2,0.6,109.0,70.1,21.4,6.5,2.0,29.9,2048,35.1,4.91,58,2019,PNS 2019 · IBGE,247,2295,39.3,2920,3545,60.7,26.2,40.5
Colombia,1 año,hábiles,15,18,42,10.0,5.0,8.4,232.9,104.3,15.0,12.9,0.0,132.1,63.8,28.6,4.1,3.5,36.2,1956,33.5,4.47,86,2021,OIT IT-56 · EUT,334,2290,39.2,2920,3550,60.8,26.1,40.5
