pais,tramo,vac_legales,unidad,vac_calendario,vac_laborables,feriados,trasladables,liturgicos,fijos,feriados_efectivos,jornada_h_sem,dias_lab_semana,horas_dia,suma_bruta,descanso_dias_laborables,horas_descanso_anio,horas_teoricas_anio,horas_trabajadas_anio,pct_anio_laboral_descanso,pct_vigilia_trabajando
Perú,1 año,30,calendario,30,25.7,16,0,2,14,14.0,48,6.0,8.0,46,39.7,317.6,2496,2178.4,12.7,37.3
Perú,5 años,30,calendario,30,25.7,16,0,2,14,14.0,48,6.0,8.0,46,39.7,317.6,2496,2178.4,12.7,37.3
Perú,10 años,30,calendario,30,25.7,16,0,2,14,14.0,48,6.0,8.0,46,39.7,317.6,2496,2178.4,12.7,37.3
Perú,20 años,30,calendario,30,25.7,16,0,2,14,14.0,48,6.0,8.0,46,39.7,317.6,2496,2178.4,12.7,37.3
Panamá,1 año,30,calendario,30,23.6,12,3,2,7,10.5,48,5.5,8.73,42,34.1,297.6,2496,2198.4,11.9,37.6
Panamá,5 años,30,calendario,30,23.6,12,3,2,7,10.5,48,5.5,8.73,42,34.1,297.6,2496,2198.4,11.9,37.6
Panamá,10 años,30,calendario,30,23.6,12,3,2,7,10.5,48,5.5,8.73,42,34.1,297.6,2496,2198.4,11.9,37.6
Panamá,20 años,30,calendario,30,23.6,12,3,2,7,10.5,48,5.5,8.73,42,34.1,297.6,2496,2198.4,11.9,37.6
Brasil,1 año,30,calendario,30,21.4,10,0,2,8,7.7,44,5.0,8.8,40,29.1,256.1,2288,2031.9,11.2,34.8
Brasil,5 años,30,calendario,30,21.4,10,0,2,8,7.7,44,5.0,8.8,40,29.1,256.1,2288,2031.9,11.2,34.8
Brasil,10 años,30,calendario,30,21.4,10,0,2,8,7.7,44,5.0,8.8,40,29.1,256.1,2288,2031.9,11.2,34.8
Brasil,20 años,30,calendario,30,21.4,10,0,2,8,7.7,44,5.0,8.8,40,29.1,256.1,2288,2031.9,11.2,34.8
