pais,escenario,dias_lab_semana,pct_trabajo,horas_trabajadas_anio
Perú,legal,6.0,75.2,2196
Perú,v2,6.0,75.2,2196
Perú,uniforme_5d,5.0,62.7,2196
Panamá,legal,6.0,76.1,2222
Panamá,v2,5.5,69.7,2222
Panamá,uniforme_5d,5.0,63.4,2222
Brasil,legal,5.5,70.1,2048
Brasil,v2,5.0,63.8,2048
Brasil,uniforme_5d,5.0,63.8,2048
Colombia,legal,5.0,63.8,1956
Colombia,v2,5.0,63.8,1956
Colombia,uniforme_5d,5.0,63.8,1956
Chile,legal,5.0,64.0,1962
Chile,v2,5.0,64.0,1962
Chile,uniforme_5d,5.0,64.0,1962
Argentina,legal,5.5,72.2,2301
Argentina,v2,5.0,65.7,2301
Argentina,uniforme_5d,5.0,65.7,2301
Uruguay,legal,6.0,76.7,2240
Uruguay,v2,5.5,69.9,2225
Uruguay,uniforme_5d,5.0,63.0,2208
Ecuador,legal,5.0,66.2,1934
Ecuador,v2,5.0,66.2,1934
Ecuador,uniforme_5d,5.0,66.2,1934
Paraguay,legal,6.0,79.6,2325
Paraguay,v2,5.0,65.8,2305
Paraguay,uniforme_5d,5.0,65.8,2305
Honduras,legal,5.5,73.5,2145
Honduras,v2,5.5,73.5,2145
Honduras,uniforme_5d,5.0,66.5,2137
México,legal,6.0,80.8,2359
México,v2,6.0,80.8,2359
México,uniforme_5d,5.0,66.8,2340
